algorithm,pages,page_count,repetition,payload_characters,payload_bits,serialized_data_bits,codeword_bits,redundancy_bits,overhead_percentage,configured_error_probability_percent,effective_error_probability_percent,configured_average_flips,actual_flips,round_trip_nanoseconds,round_trip_milliseconds,recovered_message_matches,status
CRC32,13,1,63,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4337708,4.337708,True,CLEAN
CRC32,13,1,64,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4362208,4.362208,True,CLEAN
CRC32,13,1,65,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4299458,4.299458,True,CLEAN
CRC32,13,1,66,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4349583,4.349583,True,CLEAN
CRC32,13,1,67,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4299875,4.299875,True,CLEAN
CRC32,13,1,68,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4302584,4.302584,True,CLEAN
CRC32,13,1,69,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4485417,4.485417,True,CLEAN
CRC32,13,1,70,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4358584,4.358584,True,CLEAN
CRC32,13,1,71,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4365500,4.3655,True,CLEAN
CRC32,13,1,72,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4406417,4.406417,True,CLEAN
CRC32,13,1,73,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4295666,4.295666,True,CLEAN
CRC32,13,1,74,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4451959,4.451959,True,CLEAN
CRC32,13,1,75,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4332709,4.332709,True,CLEAN
CRC32,13,1,76,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4304041,4.304041,True,CLEAN
CRC32,13,1,77,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4307917,4.307917,True,CLEAN
CRC32,13,1,78,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4320833,4.320833,True,CLEAN
CRC32,13,1,79,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4300208,4.300208,True,CLEAN
CRC32,13,1,80,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4381834,4.381834,True,CLEAN
CRC32,13,1,81,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4360834,4.360834,True,CLEAN
CRC32,13,1,82,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4322750,4.32275,True,CLEAN
CRC32,13,1,83,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4748750,4.74875,True,CLEAN
CRC32,13,1,84,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4545875,4.545875,True,CLEAN
CRC32,13,1,85,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4521375,4.521375,True,CLEAN
CRC32,13,1,86,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4460666,4.460666,True,CLEAN
CRC32,13,1,87,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4384584,4.384584,True,CLEAN
CRC32,13,1,88,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4364916,4.364916,True,CLEAN
CRC32,13,1,89,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4416084,4.416084,True,CLEAN
CRC32,13,1,90,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4428291,4.428291,True,CLEAN
CRC32,13,1,91,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4450041,4.450041,True,CLEAN
CRC32,13,1,92,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4509459,4.509459,True,CLEAN
CRC32,13,1,93,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4484584,4.484584,True,CLEAN
CRC32,13,1,94,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4389917,4.389917,True,CLEAN
CRC32,13,1,95,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4378500,4.3785,True,CLEAN
CRC32,13,1,96,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4417750,4.41775,True,CLEAN
CRC32,13,1,97,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4375208,4.375208,True,CLEAN
CRC32,13,1,98,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4370333,4.370333,True,CLEAN
CRC32,13,1,99,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4313333,4.313333,True,CLEAN
CRC32,13,1,100,543,4344,4496,4528,32,0.7117437722419928,0.01,0.0,0,0,4471125,4.471125,True,CLEAN
CRC32,13,1,1,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,6,4532208,4.532208,,CRC_DETECTED
CRC32,13,1,2,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,10,4375667,4.375667,,CRC_DETECTED
CRC32,13,1,3,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,4,4358041,4.358041,,CRC_DETECTED
CRC32,13,1,4,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,10,4463125,4.463125,,CRC_DETECTED
CRC32,13,1,5,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,5,4420667,4.420667,,CRC_DETECTED
CRC32,13,1,6,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,2,4430833,4.430833,,CRC_DETECTED
CRC32,13,1,7,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,8,4275750,4.27575,,CRC_DETECTED
CRC32,13,1,8,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,3,4420458,4.420458,,CRC_DETECTED
CRC32,13,1,9,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,5,4374208,4.374208,,CRC_DETECTED
CRC32,13,1,10,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,4,4482833,4.482833,,CRC_DETECTED
CRC32,13,1,11,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,6,4311333,4.311333,,CRC_DETECTED
CRC32,13,1,12,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,2,4451500,4.4515,,CRC_DETECTED
CRC32,13,1,13,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,2,4353750,4.35375,,CRC_DETECTED
CRC32,13,1,14,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,5,4473291,4.473291,,CRC_DETECTED
CRC32,13,1,15,543,4344,4496,4528,32,0.7117437722419928,0.1,0.11042402826855124,5,8,4493375,4.493375,,CRC_DETECTED
